sample_id,SMTSD,PLA2G2F,IL22RA1,IFNLR1,GRHL3,CRYBG2,SFN,SYTL1,TMEM54,RSPO1,COL9A2,TMEM125,TTC22,TACSTD2,CHI3L2,BNIPL,FLG,FLG2,KPRP,PRR9,LORICRIN,S100A9,S100A3,S100A14,RAB25,RHBG,NECTIN4,INAVA,IGFN1,PKP1,ELF3,SLC26A9,GRHL1,LRATD1,MATN3,KRTCAP3,EPCAM,BCL11A,TGFA,PROM2,IL1RL2,IL18R1,IL36RN,IL1F10,DAPL1,GALNT3,DHRS9,ABCA12,MREG,CCL20,SNORC,MAB21L4,CDCP1,STX19,ACP3,GPR87,SPTSSB,TPRG1,MELTF,FGFR3,PSAPL1,SLC34A2,CWH43,TECRL,TMPRSS11F,EPGN,EREG,CDS1,HAND2,IRX4,IRX1,SPINK5,SPINK7,FAT2,WWC1,GABRP,FOXQ1,DSP,TFAP2A,CDSN,PSORS1C2,LY6G6C,MAPK13,PNPLA1,RAB44,ADGRF4,TFAP2B,FAM83B,ELOVL4,MAP7,IL20RA,PERP,MACC1,HOXA10,HOXA11,CLDN4,DLX6,DLX5,CPA4,EPHB6,TRPV6,EPHA1,CLDN23,FAM167A,PHYHIP,ESRP1,MAL2,FAM83H,TYRP1,BSPRY,LAMC3,CLIC3,FAM25A,LIPN,LIPM,ANKRD22,COL17A1,EPS8L2,NLRP10,MUC15,BBOX1,ELF5,EHF,LARGE2,KCNK7,OVOL1,CST6,TYR,ELMOD1,TMPRSS4,TRIM29,ST14,SCNN1A,GPRC5D,KRT80,KRT75,KRT5,KRT2,KRT79,KRT78,KRT18,HOXC13,HOXC11,HOXC10,HOXC9,HOXC8,PMEL,SDR9C7,WIF1,HAL,RASAL1,GJB2,GJB6,ATP12A,SOX21,TMEM30B,GPX2,DEGS2,ASPG,SCG5,RHOV,PLA2G4E,TGM5,CKMT1B,AQP9,PAQR5,BNC1,CERS3,HS3ST6,BICDL2,ACSM3,TMEM265,PRSS8,MT4,MARVELD3,SDR42E1,GGT6,ALOX15B,ALOX12B,RNF222,MYH4,FOXN1,DHRS13,PPP1R1B,GRB7,GSDMA,KRT10,KRT23,KRT15,KRT16,KRT17,WNT3,SP6,DLX4,DLX3,FADS6,EVPL,ZNF750,DSC3,DSC2,DSC1,DSG1,DSG3,SERPINB5,SERPINB12,SERPINB13,SERPINB7,SERPINB2,SERPINB8,CAMSAP3,CASP14,EPHX3,KRTDAP,DMKN,SBSN,ACP7,NCCRP1,CNFN,LYPD5,MYBPC2,KLK11,TGM3,FAM83C,LPIN3,TFAP2C,RBBP8NL,COL9A3,SRMS,CLDN8,PCP4,RIPK4,PLA2G3,SLC5A1,PVALB,FAM83F,ITIH6,GDPD2,POF1B,SLC6A14
GTEX-12WSL-2726-SM-5CVNL,Muscle,0,0.356632,1.7032,0.030421,0.018978,1.31212,0.226081,5.08041,0.027377,0.121262,0.039158,0.03725,1.08099,0.255762,0.417608,0.134477,0.21563,0.083988,0,0.73969,53.1831,2.38914,1.47509,0.19827,0.018941,0.084736,0.023512,55.4613,2.74302,0.042874,0.389722,0.479441,0.675561,0.308727,0.922892,0.152703,0.010046,0.136212,0.490317,0.208417,0.676601,0,0,0.090605,0.178326,0.066976,0.00438,0.143478,0,0.38759,0.060404,0.147937,0,0,0,0,0.331643,0.332791,0.300339,0.063069,0.066378,0.047086,12.4155,0.020154,0.025377,0.034616,0.097145,0.964581,0.928965,0,0.48602,0,0.163098,0.02576,0,0.346078,1.40505,0.044706,0,0.250657,0.250158,0.595106,0.073011,0.049143,0.303148,0,0.08739,0.31954,1.50404,0.194696,8.61525,0,11.5354,5.81684,0.124715,0.062338,0.744066,0.150772,2.10752,0.160438,0.37044,0.697662,0.033163,0.479005,0.0312,0.064678,0.148057,0.09701,0.161068,0.193055,0.38879,0,0.093856,0,0,0.092683,0.785678,0,0.036805,0.142744,0.01704,0.025304,0.031379,1.00548,0.015145,8.98005,0.016143,1.77413,0,0.680449,0.291308,0.345377,0.186209,1.30678,0,2.3568,1.81107,0,0.095789,2.42665,0.268209,0.384622,67.4689,27.3688,14.4959,0.07545,0.561562,0.079468,0.139185,0,0.152279,0.11521,0,0.014316,0.39412,0.187432,0.045649,0.099155,0.15268,0.076109,0.28476,0.294476,0.06557,0.552124,0.033528,0.085393,0.113749,0.067734,0.061073,0.121778,5.81752,0.141418,0.465108,0.008081,0,0.01368,1.2764,0.083303,0.013622,2.20571,0.011497,0.548531,0.357133,0.19832,0.130579,19.1915,0.066155,0.240573,0.200766,0.306184,0.172429,0.20697,0.126918,0.138762,0.031192,0.205043,16.895,0.103304,0.549156,0.093777,0.160223,0.09754,0.08437,0.020738,0.049154,0.047622,0.076317,1.54947,0.635141,0.146409,0.081678,1.77318,0.675157,1.09602,0.013752,0.105974,0.478007,0.113683,3066.16,0.036447,0.233072,0.039955,2.03815,0.125537,0.02991,0.210284,0.073035,0.040019,0.127492,0.0471,0.0322,0.050161,2.54884,0.042065,2.01945,0.063811,0.115028,0.018457
GTEX-131YS-0526-SM-5EGKJ,Muscle,0.025492,0.012312,2.63275,0.042008,0.015724,0.397731,0.288177,3.34964,0.011341,0.210986,0.064887,0.030863,0.266785,0.094181,0.673793,0.151653,0.136843,0.083504,0,0.779999,3.51058,0.082478,0.162954,0.020534,0,0.080236,0.051948,43.3053,1.2899,0.071046,3.58856,0.870126,0.194867,0.090279,0.764645,0.221409,0.009989,0.077589,0.358044,0.119548,0.164878,0.021616,0,0,0.007776,0.018497,0.018147,0.287284,0.058883,0.762685,0.025023,0.069279,0,0.017813,0,0.032153,0.293597,0.596169,0.43547,0.074649,0.109993,0,35.6331,0,0.021026,0.01434,0.080488,0.190282,0.174927,0.326997,0.308438,0,0.147416,0.028457,0.093441,0.026067,0.449071,0.061734,0,0.041535,0.241808,0.478272,0.020164,0.032573,0.544197,0.01127,1.39983,0.161152,0.177083,1.42248,1.90842,0,22.9312,4.2661,0.154996,0.077473,0.45739,0.022713,2.12462,0.024169,0.191826,0.160565,0.041215,0.628379,0.017233,0.085741,0.133822,3.15475,0.059311,0.118821,0.572666,0,0.025921,0,0.075396,0.159067,1.33488,0,0.040659,0,0.028237,0.068138,0.415977,0.854995,0.087835,0.468677,0,0.514813,0.011677,0.236583,0.041975,0.044513,0.061712,0.834216,0.03559,1.8267,1.51469,0,0.056689,0.743906,0.031746,0.22307,65.5173,22.7855,15.9133,0.10002,0.445885,0.148144,0.021622,0.038306,0.252335,0.063637,0,0,1.08274,0,0.104008,0.020538,0.105417,0.063058,0.370751,0.036597,0.021731,0.084268,0.027779,0.042451,0.094245,0,0,0.069035,5.12673,0.187471,0,0.040172,0.005907,0.011334,0.114673,0.03451,0,1.75255,0.057153,0.397665,0.45163,0.211262,0.061822,15.2094,0.041109,0.068996,0.033268,0.289924,0.117652,0.034296,0,0.076646,0,0.133848,1.32302,0.067571,0.105425,0.029136,0.118,0,0.069903,0,0,0,0.031615,0.39043,0.016445,0.14336,0.152263,0.944445,0.443653,0.890628,0,0.105363,0.339466,0.067279,1294.96,0.105692,0.102991,0.066208,3.28306,0.080898,0,1.31759,0,0.033157,0.352103,0.058535,0.013339,0.055414,1.54323,0.015248,2.13409,0.14539,0.069312,0.030584
GTEX-146FH-0526-SM-5QGQ3,Muscle,0,0.114921,1.59737,0.137242,0.024462,15.2833,0.31943,4.77299,0,0.046891,0.037855,0.072021,2.40132,1.23625,0.265599,0.065001,0.053222,0.097432,0,0.260027,86.3713,5.72596,3.1372,0.23959,0,0.070214,0.030306,3.00244,2.32597,0.248686,0.29969,0.816617,0.10159,0.193117,0.700998,0.036905,0.015539,0.181059,0.136576,0.542449,0.461707,0.025221,0,0.350361,0.136099,0.064747,0.016939,0.196496,0,0.234182,0.058393,0.180322,0.070438,0.093529,0,0.02501,0.303039,0.295631,0.471809,0.03484,0,0,26.2802,0.019483,0.110397,0,0.093912,0.355231,0.625914,0,1.17961,1.17797,0.260872,0.033203,0.09994,0.030415,0.798048,0.043218,0,0.193852,0.080611,0.391205,0.062739,0.047507,0.048843,0,1.87737,0.134307,0.198966,0.27377,3.01717,0.017452,14.181,3.37396,0.034447,0.030132,0.13922,0,1.27462,0.0141,0.156674,0.524568,0.01603,0.604556,0.050269,0.100041,0.097588,0.726806,0.173008,0.133307,0.542897,0.226704,0,0,0.054982,0.153598,0.499945,0,0.04744,0.103495,0.016473,0.061156,0,1.17666,0.058562,0.683559,0,2.45803,0.020438,0.510973,0.477519,0.20775,0,0.352064,0,6.45292,0.957987,0,0.608522,1.45446,0,0.198305,49.1807,15.4914,17.9647,0.131291,0.226197,0,0.033638,0.035756,0.91598,0.259878,0,0,1.70449,0.694577,0.077226,0.015976,0.147599,0.147152,0.204496,0.256208,0.05071,0.449474,0.016206,0.115572,0.073309,0,0.070849,0.055765,6.67202,0.082027,0.149877,0.023436,0.034463,0.079346,0.208131,0,0.079011,1.8767,0.022228,0.397707,0.145368,0.342358,0.018033,10.1407,0.031977,0.554583,1.00924,0.422849,0.078443,0.040016,0,0,0,0.222245,1.39208,0.105122,0.200699,0.033996,0.097524,0.304643,0.186429,0.060144,0.133052,0,0.055333,1.5674,0.163095,0.025734,0.217138,0.550984,0.405117,1.38557,0.026588,0.450768,3.49875,0.0471,1280.7,0.193789,3.2145,0.038626,0.540089,0.107875,0.072288,0.177876,0.020173,0,0,0.102447,0,0.323281,1.99016,0.002542,0.43465,0.138796,0.070764,0
GTEX-113JC-2326-SM-5EQ4E,Skin,21.9238,80.2348,11.5996,46.6311,30.7501,1430.36,123.003,90.2432,11.5091,9.6701,12.8391,21.1775,833.816,2.39599,144.39,617.539,786.639,353.255,0,2827.21,34.6461,16.2033,701.259,210.234,9.35997,151.221,34.4254,0.374811,1257.05,21.1786,2.90415,123.474,24.9865,0.956965,18.565,21.1897,10.8398,12.3915,101.422,12.6722,4.54409,70.0212,9.90119,204.241,10.3861,0.614357,31.4646,23.4659,0.540944,11.3751,83.0757,38.4506,3.1996,19.587,19.6569,31.2345,8.3257,32.166,430.874,133.813,2.81768,36.2993,0.255213,8.07131,0.906363,12.4343,28.4279,4.10574,30.7886,19.6418,309.97,1.67869,46.4447,10.9247,31.2882,36.6206,1379.19,65.7091,90.7287,153.041,494.719,75.1575,18.3532,2.67015,63.7646,7.01621,43.4918,56.2412,25.7511,34.2192,2189.47,4.56619,4.80847,1.96778,108.686,1.13146,19.506,56.8184,238.245,20.3757,29.8364,24.6224,17.1936,38.5786,97.7313,156.006,64.33,205.103,51.7213,25.2808,115.083,153.782,18.3359,20.0006,33.6199,591.874,123.622,5.5544,31.1605,51.2327,7.83208,47.0252,39.0049,58.8091,29.2086,500.28,31.6452,20.7752,0.222809,734.955,101.521,69.2488,1.39553,296.453,0.377254,8457.87,6311.98,1.55873,75.9865,93.8302,7.24612,7.74678,27.9283,14.4917,3.69104,180.574,61.6491,27.4286,19.4258,23.6806,66.9488,52.4206,0.14404,33.243,17.2097,9.98648,44.6346,5.27334,0.62576,151.153,80.0768,61.1904,24.1711,31.2551,2.24772,19.1592,51.6486,111.52,53.5807,0.90065,29.4479,141.523,52.1042,2.30895,14.0641,68.0003,10.5707,102.938,4.88105,0,49.2871,7.54739,87.8668,53.6625,61.4471,29976.4,138.997,373.301,174.466,509.924,45.0508,15.0992,4.36405,72.7775,7.14083,220.198,151.578,395.244,7.19133,323.221,664.986,74.5768,390.746,74.1643,16.2318,208.098,62.4676,27.2259,89.5175,841.814,89.356,3227.47,2193.55,2300.85,2.72143,362.41,439.162,46.3554,0.516837,288.516,113.902,97.5055,53.8882,68.0631,2.38172,8.80321,1.60053,15.7691,2.68727,40.1795,26.7902,15.7617,0,25.4079,0.053542,30.9724,187.206,3.11225
GTEX-11UD2-0226-SM-5EQKY,Skin,37.8559,95.8191,17.4584,74.5636,34.9432,1927.86,140.519,139.985,7.47427,4.41412,16.5754,27.768,996.708,0.620674,143.397,644.619,937.548,735.218,0.142507,4119.4,15.3477,10.5604,987.722,255.364,8.94357,276.323,60.0014,0.149985,1273.45,8.63583,3.3808,119.543,15.7073,0.642178,19.0255,15.7825,9.97649,16.4864,89.777,15.6402,3.49777,83.9921,11.3949,203.78,9.63451,0.185753,28.5744,22.7441,2.47615,8.99439,86.1608,34.3109,3.44801,14.579,24.1989,37.4952,12.2424,21.6837,383.008,205.469,4.08176,51.6815,0,4.9887,0.03959,15.04,41.9496,2.18157,33.7278,4.79741,398.846,0.521834,30.2185,12.2704,17.0468,44.8447,1451.18,72.6269,140.072,207.46,740.587,68.1756,21.8945,1.16532,64.1477,4.30761,57.7852,79.9482,24.6001,34.5157,2740.64,4.55308,4.98717,1.29958,113.366,2.31781,38.6431,55.7955,254.899,29.9442,45.089,29.2053,17.3057,73.3855,108.845,141.693,49.4713,52.301,75.5503,10.6014,204.201,172.68,26.4046,18.055,59.2939,487.019,111.245,11.1218,26.221,39.1006,4.8383,34.1207,63.362,99.3179,70.6591,905.796,9.55338,20.5095,0.344476,1114.37,95.2256,95.7565,1.35565,577.708,0.469088,6192.32,5618.92,2.20412,138.948,48.4321,13.7282,9.17387,32.501,11.7159,3.47638,51.5085,75.9992,4.48376,26.5721,33.2938,50.258,27.4263,0.35427,36.3891,15.9754,5.39325,62.8588,6.54843,0.741036,257.442,82.7985,78.0828,12.4525,32.9579,2.85938,13.7126,70.174,184.499,52.9367,0.986573,37.5129,200.765,29.8301,2.70628,21.868,82.334,13.2111,181.01,22.71,0,73.6439,5.4197,63.9647,68.022,84.763,32304.7,221.206,174.057,79.2833,754.508,40.5821,22.9572,4.91998,116.609,12.0681,217.834,225.953,315.399,4.26617,325.294,518.542,51.4564,441.188,63.7994,17.4634,278.913,53.5368,34.3402,111.007,943.669,109.647,5114.38,2698.67,3341.3,6.16424,608.488,671.929,43.6119,0.301997,268.019,196.849,90.2022,41.868,131.913,4.46402,5.07121,1.17195,11.3834,3.6685,46.2423,41.4093,24.1199,0.203915,14.7845,0,35.0742,202.127,3.25367
GTEX-15RIF-1926-SM-7KUDW,Skin,26.8733,53.5627,5.3713,45.8153,21.1441,2344.98,160.578,193.032,9.00154,4.2027,31.0747,24.6448,1017.48,7.29269,112.793,303.219,703.626,1043.32,231.709,5062.16,138.006,348.551,741.994,300.979,5.62678,125.069,19.1288,0.085847,704.362,19.9321,4.41626,48.3909,19.4581,1.78563,19.7209,23.0676,4.45292,15.0791,59.1171,9.12275,2.83788,85.7433,23.5227,261.357,6.43371,5.75249,23.7716,16.9174,0.346917,22.67,45.4181,18.7397,3.07403,18.8832,19.4851,42.9289,17.06,28.5069,262.682,299.615,5.98277,35.9109,0,4.76437,2.04396,5.54603,18.4126,3.46998,19.4735,17.7517,321.882,74.226,14.4236,9.83498,6.23921,19.1752,492.35,29.2789,89.3848,929.728,1115.46,65.934,23.0696,0.692239,31.6657,4.96074,10.7526,62.4114,16.853,31.3814,1546.93,1.91981,5.66103,4.17652,126.652,0.771605,28.6717,39.7714,172.885,13.2527,40.8716,21.5551,14.2282,34.4701,58.3521,72.6697,50.8629,8.97196,58.4935,22.617,292.719,516.681,28.187,29.337,23.757,261.113,92.8148,14.855,25.4947,26.5278,8.62705,34.7799,26.4444,91.9263,41.9271,3511.1,5.63998,32.2807,0.633937,557.959,103.081,41.6343,68.2239,407.204,117.257,4393.19,3423.51,449.217,127.746,169.711,42.4299,5.98116,41.9393,19.694,6.71492,27.4017,117.333,10.7646,72.5093,24.2255,128.467,65.9332,9.65321,17.2408,7.51462,60.8645,94.1531,7.78454,0.834016,181.955,37.5988,73.8132,10.9465,37.0429,2.70045,12.7552,73.5515,156.392,54.4204,3.77676,40.0333,288.888,461.103,2.66547,7.15967,87.2283,196.934,162.915,9.19508,0,44.3671,6.86134,100.705,65.217,189.596,14550.6,282.806,321.367,269.841,1673.76,19.5995,27.6751,4.61835,108.731,12.8878,115.956,111.523,128.099,5.34962,118.479,221.433,44.0867,295.747,57.4845,7.35591,101.176,28.2592,28.1602,95.3019,459.689,149.441,6805.07,1869.45,2930.99,15.6501,545.974,943.527,75.8785,0.31588,189.237,123.654,53.0966,34.4212,66.1627,8.22842,7.13038,2.05906,13.5627,39.9777,27.6551,8.67858,19.3904,0,10.8681,0.010628,12.6708,147.178,5.70812
GTEX-16MTA-2226-SM-GPI9K,Skin,34.7547,69.6583,8.29539,72.3249,29.8396,1246.35,158.333,87.192,15.1273,6.88299,23.0558,31.4348,749.741,0.187252,151.84,435.333,594.929,261.844,0.193469,2018.61,22.4866,10.3544,516.159,204.691,15.2442,181.758,37.8686,0.258251,980.865,9.36311,3.93531,71.4242,13.373,1.31629,15.0476,12.1282,6.26425,14.9214,78.6263,17.0681,8.88841,108.423,14.6571,207.89,9.38253,0.147105,40.8916,19.0206,0.334492,18.5842,47.3775,19.5441,2.67488,10.9487,17.6014,50.3254,16.0366,21.6234,347.145,135.519,1.12469,47.4256,0,5.46369,1.19439,12.6592,35.8368,4.29485,28.0883,12.1669,348.028,14.7087,27.6598,9.77197,41.2167,23.7662,904.289,32.8733,70.2403,171.58,711.885,46.9823,22.6873,3.40463,80.1141,8.5208,25.0622,68.4879,14.8879,49.6163,1568.82,4.26955,3.83986,2.31187,93.4639,1.2616,48.079,25.7914,176.669,19.729,62.2647,15.4329,14.6562,17.134,61.1654,93.2475,57.8947,65.6338,71.057,14.8962,251.261,63.354,15.9615,29.2229,40.6559,265.595,132.214,9.92401,13.3037,20.6085,5.41362,45.0602,25.1808,94.7717,39.6169,457.262,13.3268,21.9565,0.630184,616.827,63.033,58.8301,0.876404,272.575,3.17408,2153.62,5730.85,51.5538,148.068,49.3395,12.371,5.97382,23.3892,17.5733,6.34167,81.1073,114.839,4.46955,46.3388,28.2184,50.0263,27.4617,0.142507,21.1165,7.65412,29.1995,65.8616,13.0358,0.479065,228.92,107.304,81.4257,15.5662,32.127,5.65719,6.06078,64.5654,118.464,58.754,0.844654,39.7516,98.3746,86.249,1.33119,13.4028,64.6546,25.4774,185.587,11.694,0,55.0843,4.74386,68.261,53.6842,62.5287,12770.1,105.443,408.576,45.6585,489.986,9.97728,24.6452,1.58568,60.9696,3.75827,244.08,159.84,174.246,2.90614,179.504,324.564,37.4679,318.345,113.153,15.3892,151.665,27.7474,30.0279,165.646,465.17,124.898,5250.69,1901.44,2517.51,6.8347,348.982,676.281,23.9935,0.295195,219.728,106.772,88.3592,84.7566,40.0859,7.4048,10.7137,0.982131,7.10085,16.2413,29.605,31.2345,26.371,0,16.0463,0.014347,8.48428,164.66,10.7021
GTEX-1JKYN-1326-SM-CGQG9,Skin,15.9321,69.4356,11.5141,78.761,27.0312,675.589,132.133,78.8021,17.7881,10.0068,18.5463,23.2741,901.525,1.39918,143.47,621.979,1228.27,681.907,1.1388,2911.91,76.0562,7.64516,434.409,164.962,8.04245,173.107,28.3144,0.050325,696.375,13.228,8.77783,92.7505,44.7742,4.38663,24.6337,27.9692,7.77481,31.0533,86.8874,18.4451,9.1489,98.9728,18.0663,192.262,11.4104,0.493228,46.3775,20.5537,2.07854,20.6633,46.453,26.6151,8.20207,25.1065,25.797,83.7652,18.2634,59.6626,250.062,183.114,2.49303,51.472,0.0214,16.5382,1.43635,23.1909,32.9617,28.8777,43.4578,18.1135,278.516,28.6248,30.7656,13.7761,83.635,36.1309,1032.77,43.7999,120.462,307.329,642.028,50.7347,20.8516,2.54779,72.5342,14.0722,41.8501,96.4719,24.6341,39.4873,1635.41,6.04143,5.86608,2.83767,112.327,1.22638,39.7859,56.5258,133.133,15.24,39.9851,20.3473,17.1966,31.2047,81.9931,113.53,55.3862,40.3131,36.2021,23.5041,185.26,207.337,44.2094,29.4865,30.372,537.488,131.841,23.3296,37.4402,61.8938,11.1866,94.3138,27.1294,63.2012,30.1002,508.79,10.1358,34.4117,0.566417,470.389,71.4951,70.8649,0.501503,393.495,10.0142,4668.01,1784.54,0.928672,154.91,84.0122,10.5208,8.26003,40.1916,24.6592,7.51401,35.4401,102.324,15.684,104.74,24.4482,235.628,130.994,2.66379,14.8441,15.9699,43.5124,48.4084,14.3989,0.803129,136.353,53.2156,83.9065,15.5955,50.3879,5.06519,16.7852,77.007,79.2973,86.4573,1.0492,36.0985,160.597,32.8166,3.80191,13.5693,59.5466,34.234,141.133,10.3296,0.005856,32.1439,8.54074,127.673,71.5342,131.604,13018.2,296.704,489.167,185.142,339.817,18.6226,20.3762,5.13213,50.03,4.35132,206.086,167.195,273.45,11.6801,246.861,374.416,97.1572,267.283,117.307,8.65044,181.383,47.7957,42.1611,122.973,575.042,98.5425,4452.27,1365.88,2409.76,13.3446,371.812,526.993,56.7961,0.371466,127.149,93.3532,54.701,74.1183,75.5503,5.73331,6.80829,1.33915,45.6633,10.444,41.5731,13.2521,22.2451,0.020627,13.2109,0.025655,14.4668,276.56,5.464
GTEX-1POEN-0126-SM-EYYXJ,Skin,21.8504,69.1188,12.7674,29.3859,29.9932,2181.79,131.738,108.095,10.8269,9.12863,12.3008,23.0478,844.04,4.90989,149.963,737.093,739.499,543.464,335.734,2435.8,41.0617,608.171,932.673,248.355,12.6863,225.307,40.8957,0.864201,1620.47,4.58565,2.6234,142.067,27.5096,2.89315,18.0086,19.6374,7.01523,13.0468,92.238,9.82064,4.87824,81.369,22.947,254.534,10.972,1.45272,32.1456,25.6344,0.159466,7.66407,95.1284,36.1385,4.9456,22.2271,21.4551,44.931,11.519,17.8709,463.826,131.356,0.828481,59.8172,0.065203,7.23548,2.80439,20.8454,33.0124,2.11281,22.5497,15.3591,316.546,3.29704,43.586,15.4086,12.5051,54.1281,1962.68,82.4231,104.135,438.469,617.766,79.8715,24.4825,1.10267,60.7795,12.7192,70.6784,81.0198,28.9787,25.9636,2890.11,4.21779,6.1829,1.98196,84.8109,1.59107,35.4375,80.5164,199.429,18.8833,33.7026,32.8957,21.5607,20.7795,116.771,172.395,63.9132,120.985,47.2439,18.6391,124.556,252.836,13.9344,26.073,57.7081,554.708,106.556,13.0658,36.4058,72.466,8.14417,38.8719,45.361,98.3784,50.6328,791.783,38.8851,32.2044,0.592965,878.661,109.855,49.3652,65.4721,384.138,59.2758,7315.04,15972.1,90.0742,149.762,42.9335,47.4141,5.85417,32.5158,12.0448,5.28501,120.674,89.2004,29.7557,39.6432,21.2458,150.266,64.7569,1.14647,53.3712,24.4123,4.87151,45.1063,6.8414,1.71293,270.847,106.978,46.8141,16.7577,30.7271,4.94642,16.4398,56.0129,122.422,43.5094,1.8624,27.7386,125.943,190.634,1.88576,11.5347,71.2883,31.8491,97.1966,13.204,0,81.5174,4.7309,67.8187,29.0677,83.3778,33180.5,123.261,355.979,72.798,696.885,49.1931,41.4132,9.39774,156.543,14.8552,207.795,313.32,452.481,7.3181,452.374,807.655,47.5184,587.407,85.0844,25.2461,262.543,82.8377,50.0811,122.785,646.474,83.7541,3037.09,2034.98,2509.32,4.56668,360.151,417.072,33.1791,0.039092,277.177,142.196,98.0496,47.2994,85.2404,6.24157,9.37781,3.7809,10.9999,19.1189,38.5742,46.9809,20.2783,0.109983,15.8332,0,32.3406,301.522,6.99886
GTEX-ZGAY-0526-SM-4WWBB,Skin,58.8443,114.685,9.71677,187.645,40.4773,2050.69,210.649,160.641,5.60048,3.46407,43.8756,62.5092,1702.45,0.401319,197.844,1221.8,1606.59,2494.16,1.161,13277.1,25.7032,3.57477,526.533,312.816,13.6036,326.601,72.1509,0.107859,1907.94,4.39977,22.9367,144.809,22.9249,1.12843,15.0013,8.84154,8.59043,35.2841,103.257,18.2159,3.18766,88.328,18.043,315.167,5.73344,0.315276,66.6295,23.6776,0.401455,9.26593,50.1942,35.6534,2.58712,18.9197,14.9179,40.1055,14.9394,16.9334,487.199,502.077,1.16505,44.5582,0.029312,14.1168,3.19468,71.0021,31.3729,3.02707,20.604,6.21051,576.648,13.1301,35.56,14.3364,12.7792,62.2149,1955.14,52.5334,360.036,1615.72,2197.56,86.5861,29.1185,0.888311,84.0107,5.99856,47.0297,107.886,22.1982,73.7438,3176.2,4.46146,3.65156,1.02573,238.089,2.01219,84.8364,194.183,351.117,15.2067,69.7265,77.6305,30.9362,67.076,100.86,107.654,117.533,6.60522,89.3376,11.3949,374.12,343.946,24.5394,31.9438,35.2483,731.858,110.801,16.7338,16.6918,23.2253,3.44465,31.4415,14.3956,131.019,177.257,1793.17,3.11351,42.9832,0.136483,1409.8,97.3016,79.4322,0.060106,975.045,0.121322,5252.38,9663.63,2.5158,315.07,49.7392,22.1693,8.17332,20.8561,13.5289,3.14456,11.6414,159.835,2.78958,128.681,35.4361,63.0534,34.2445,0.328328,25.4733,15.9189,19.7888,136.767,18.2967,0.266951,195.84,112.822,148.592,5.24896,35.1983,3.63229,19.2327,146.21,244.656,62.473,0.972373,45.6227,454.587,412.487,1.06295,14.5279,127.601,32.4642,344.216,30.1741,0,111.962,5.89276,80.6949,101.019,370.763,26525.7,304.924,208.771,36.7282,376.994,19.3248,46.6317,3.64984,180.083,12.8121,436.477,435.591,368.088,4.76119,409.981,857.305,60.3722,600.067,142.264,12.2171,170.627,45.45,71.5682,267.49,889.666,249.442,9316.48,4199.3,6505.14,47.3847,1312.94,1193.09,72.9063,0.131219,362.59,217.273,132.227,54.0674,72.4781,3.63261,4.65596,1.79338,5.42541,5.07551,37.6659,19.0075,26.4732,0.079109,27.9517,0.018449,19.4516,300.531,5.92037
